Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
61596463.0,16.0,14.0,767.0,6202.0,377.0,0.0,47.9375,102.8049731,2920.0,0.0,443.0,842.4055300000001,113.1396132,0.487040952,2124015.966,4094292.3680000002,10000000.0,51.0,61600000.0,4106430.867,5016654.318,10100000.0,1991.0,61500000.0,4734301.615,5126614.183999999,10100000.0,254.0,0.0,0.0,0.0,0.0,332.0,364.0,0.259755175,0.227285778,0.0,2920.0,224.80645159999997,594.4611801,353384.0946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,232.3,47.9375,443.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,767.0,14.0,6202.0,8192.0,114.0,15.0,20.0,225208.1667,427973.3513,1098805.0,50067.0,9995683.167000001,8374.671418,10000000.0,9980431.0,0
24053.0,2.0,2.0,158.0,322.0,79.0,79.0,79.0,0.0,161.0,161.0,161.0,0.0,19955.93065,166.2994221,8017.666667,13803.86759,23957.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,40.0,40.0,83.14971105,83.14971105,79.0,161.0,111.8,44.91324972,2017.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139.75,79.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,158.0,2.0,322.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
222.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,54054.05405,9009.009009000001,222.0,0.0,222.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,4504.504505,4504.504505,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,6.0,119.0,255.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30744.0,1.0,1.0,65.0,93.0,65.0,65.0,65.0,0.0,93.0,93.0,93.0,0.0,5139.214156,65.05334374,30744.0,0.0,30744.0,30744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,32.52667187,32.52667187,65.0,93.0,74.33333333,16.16580754,261.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.5,65.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,1.0,93.0,-1.0,-1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
115241558.0,20.0,20.0,1422.0,3693.0,837.0,0.0,71.1,192.02436799999998,1400.0,0.0,184.65,436.6804534,44.38502992,0.347097008,2954911.744,4521699.738,10000000.0,37.0,115000000.0,6065345.158,4867127.608,10000000.0,49.0,110000000.0,5814685.158,5081405.353999999,10000000.0,48.0,0.0,0.0,0.0,0.0,412.0,408.0,0.173548504,0.173548504,0.0,1400.0,124.7560976,334.2375488,111714.739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,127.875,71.1,184.65,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1422.0,20.0,3693.0,8192.0,5479.0,19.0,20.0,66045.27273,93954.30883,349328.0,37573.0,9977495.273,57757.47065,10000000.0,9803919.0,0
148.0,1.0,2.0,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,121621.6216,20270.270269999997,74.0,97.5807358,143.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,20.0,40.0,6756.756756999999,13513.513509999999,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,12.0,256.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66483.0,3.0,4.0,431.0,2267.0,431.0,0.0,143.66666669999998,248.83796600000002,2267.0,0.0,566.75,1133.5,40581.80287,105.2900742,11080.5,16646.49341,32578.0,4.0,32774.0,16387.0,22947.02926,32613.0,161.0,33932.0,11310.66667,18619.64292,32801.0,4.0,0.0,0.0,0.0,0.0,104.0,136.0,45.12431749,60.16575666,0.0,2267.0,337.25,794.1886696,630735.6429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,385.42857139999995,143.66666669999998,566.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,431.0,4.0,2267.0,29200.0,235.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95064.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.038458300000002,95064.0,0.0,95064.0,95064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,10.51922915,10.51922915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,304.0,252.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96.0,2.0,0.0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,125000.0,20833.33333,96.0,0.0,96.0,96.0,96.0,96.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,20833.33333,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,64240.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48117600.0,12.0,11.0,972.0,4334.0,459.0,0.0,81.0,176.5719014,1460.0,0.0,394.0,592.0525315,110.27150149999999,0.477995578,2187163.636,4026194.729,10200000.0,3.0,42800000.0,3895084.273,5021050.626,10200000.0,3.0,48100000.0,4810236.7,4894988.489,10200000.0,4.0,0.0,0.0,0.0,0.0,260.0,232.0,0.249388997,0.228606581,0.0,1460.0,221.08333330000002,440.42843930000004,193977.2101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,230.69565219999998,81.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,972.0,11.0,4334.0,29200.0,31.0,11.0,20.0,541146.25,1051146.815,2117866.0,14964.0,10200000.0,108169.5336,10200000.0,10000000.0,0
